time,English,Korean
0:00:02,So this is a presentation about a technical challenges of the blockchain  that was presented yesterday at the Seoul National University  and we’re recording now.,이번 발표는 어제 서울대학교에서 발표했던 “블록체인이 가진 기술적 어려움들”에 관한 내용입니다.
0:00:14,blockchains are open distributed databases with stored procedures ,블록체인은 저장 프로시져가 내장된 오픈 분산 데이터베이스입니다.
0:00:19,and in that sense they inherit of the properties of open networks like the internet  of distributed databases,그렇기 때문에 블록체인은 인터넷이나 다른 분산 데이터베이스같은 오픈 네트워크의 특성이 많이 반영되어있습니다.
0:00:25,typical examples are Google search  and of distributed applications  things like Google Docs.,예를들면 구글 검색이나  분산형 애플리케이션으로는 구글 독스등과 비슷하다고 할 수 있습니다.
0:00:35,An open network is a network in which anyone can set up a node and can link that node to other nodes of the system,오픈 네트워크는 누구나 노드를 구축할 수 있고  그렇게 구축한 노드를 다른 노드와 연결시킬 수 있는 네트워크를 말합니다.
0:00:45, and can provide access to the system and to the services that are in the system.,이 노드들은 시스템에 존재하는 다른 서비스들에 접근할 수 있는 권한을 가집니다.
0:00:50,internet is a typical example of permission (?) for open networks,인터넷은 오픈 네트워크의 단적인 예라고 할 수 있습니다.
0:00:58,then distributed databases. an example of distributed database or distributed application is Google Docs.,분산장부 혹은 분산 애플리케이션의 예로는 구글 독스를 들 수 있겠습니다.
0:01:04,Google Docs is an application in which a multiple people can collaborate and right to get a document   and the system will make sure that the document is consistent across all the nodes that are accessing to it.,구글독스는 많은 사람들이 공동으로 작업하거나 문서에 대한 권한을 얻을 수 있는 앱입니다. 구글독스는 접속중인 모든 노드가 일관된 문서를 제공받을 수 있도록 보증합니다.
0:01:20,in this example we have three people are writing the three first words of the America Constitution  We the People  then you have Google Docs that will make sure that they all see the same thing  the same document.,지금 보시는 예제에서는 세명의 참여자가 미국 헌법의 첫 세 단어  We The People을 작성하고 있고  구글독스는 이 세명이 모두 같은 문서를 볼 수 있도록 합니다.
0:01:35,In that sense it’'s a distributed database  on top of which is built and distributed application  in this case the editing application.,그런 의미에서 구글독스는 분산 데이터베이스 위에 만들어진 분산 애플리케이션이라고 할 수 있습니다.
0:01:46, Now  the main promise of blockchain is to be able to create distributed applications on a network that is completely open.,블록체인의 목적중 하나는 완전히 오픈된 네트워크 상에 분산 애플리케이션을 만들 수 있도록 하는 것입니다.
0:01:57, so anyone can create an application  and anyone can provide and sell an access to the network.,누구나 애플리케이션을 만들 수 있고  네트워크에 접근할 수 있는 권한을 팔거나 제공할 수 있게끔 말이죠.
0:02:05,in that sense  it's a system in which the network itself is not controlled by a single actor  but anyone can participate.,다시 말해 블록체인은 특정 인물이나 회사가 관리하는 네트워크가 아닌  누구나 참여할 수 있는 네트워크라고 할 수 있습니다.
0:02:15,So the promise of blockchain in basically to break the existing systems in which a single actor is the one that manages all the nodes  on top of which are these distributed applications.,기존에 나와있는 중앙 관리자가 존재하는 분산 애플리케이션의 형태를 넘어서는 것이 블록체인의 역할이라고 할 수 있겠습니다.
0:02:33,Now internet uses a local cost model  which means that the internet service providers  the organizations that provide access to services that are internet  ,인터넷은 지역적 비용 모델을 사용합니다. 인터넷 제공업체(ISP)들은 각자 고객들을 가지고 있고  고객들에게 비용을 지불할 때 그 지역의 화폐로 비용을 청구합니다. 이것을 우리는 “지역경제모델” 이라고 합니다.
0:02:48, they have local customers  they operate with local costs  they are paid for their services locally  and all those exchanges are done in local currency. that's what we understand by “Local economic model”.,
0:03:05,And the problem of the local economic model is that it has limitations that are all well known now ,지역경제모델의 문제점은 익히 잘 알려져 있습니다. 예를들면 담합같은 문제점이 있습니다.
0:03:13, which are for example cartels. because the customers can only access service providers that are within their economic region. Then these actors  can agree together to keep prices high for instance. so that's an example of the Cartel.,고객들은 자신이 속한 지역에 존재하는 ISP를 통해야만 인터넷에 접속할 수 있는점을 이용해 ISP들은 고객에게 더 높은 사용료를 청구하게끔 담합을 할 수 있습니다.
